Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1925,-.39,-.40,-.28,-.26,-.29,-.32,-.27,-.20,-.20,-.17,.05,.06,-.22,-.26,-.41,-.28,-.26,-.11
1926,.20,.02,.10,-.13,-.24,-.26,-.28,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.09,-.09,-.22,-.10
1927,-.27,-.18,-.39,-.31,-.25,-.27,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.32,-.24,-.07
1928,-.01,-.09,-.25,-.28,-.30,-.39,-.20,-.23,-.22,-.19,-.09,-.17,-.20,-.21,-.15,-.28,-.27,-.17
1929,-.45,-.59,-.33,-.42,-.38,-.44,-.37,-.32,-.26,-.14,-.11,-.54,-.36,-.33,-.40,-.38,-.38,-.17
1930,-.30,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.15,-.12,.18,-.05,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.21,-.10,-.23,-.19,-.08,-.04,-.04,-.07,.05,-.05,-.05,-.09,-.09,-.12,-.17,-.05,-.03
1932,.15,-.17,-.18,-.06,-.18,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.23,-.29,-.30,-.24,-.29,-.35,-.21,-.23,-.29,-.25,-.30,-.44,-.29,-.27,-.26,-.28,-.26,-.28
1934,-.22,-.03,-.29,-.31,-.10,-.15,-.11,-.12,-.15,-.07,.03,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.34,.14,-.15,-.37,-.30,-.27,-.22,-.22,-.22,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.24,-.18
1936,-.28,-.38,-.22,-.20,-.17,-.22,-.10,-.13,-.09,-.03,.01,-.01,-.15,-.17,-.28,-.19,-.15,-.04
